locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFDHAJOI_00798	CDS	501	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
HFDHAJOI_00799	CDS	357	pucM	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
HFDHAJOI_00800	CDS	741				hypothetical protein
HFDHAJOI_00801	CDS	1146	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
HFDHAJOI_00802	CDS	435				hypothetical protein
HFDHAJOI_00803	CDS	420				hypothetical protein
HFDHAJOI_00804	CDS	531				hypothetical protein
HFDHAJOI_00805	CDS	1311	guaD	3.5.4.3	COG0402	Guanine deaminase
HFDHAJOI_00806	CDS	1233				hypothetical protein
HFDHAJOI_00807	CDS	900	gcvA_6			Glycine cleavage system transcriptional activator
HFDHAJOI_00808	CDS	222				hypothetical protein
HFDHAJOI_00809	CDS	798				hypothetical protein
HFDHAJOI_00810	CDS	882				hypothetical protein
HFDHAJOI_00811	CDS	2337	xdhA	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
HFDHAJOI_00812	CDS	1470				hypothetical protein
HFDHAJOI_00813	CDS	774	bdhA	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
HFDHAJOI_00814	CDS	1047	fgd	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
HFDHAJOI_00815	CDS	753	map_1	3.4.11.18		Methionine aminopeptidase
HFDHAJOI_00816	CDS	237				hypothetical protein
HFDHAJOI_00817	CDS	381				hypothetical protein
HFDHAJOI_00818	CDS	1281	sbmA		COG1133	Peptide antibiotic transporter SbmA
HFDHAJOI_00819	CDS	156				hypothetical protein
HFDHAJOI_00820	CDS	1020				hypothetical protein
HFDHAJOI_00821	CDS	579				hypothetical protein
HFDHAJOI_00822	CDS	672				hypothetical protein
HFDHAJOI_00823	CDS	1428	der		COG1160	GTPase Der
HFDHAJOI_00824	CDS	1095	mgtA	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
HFDHAJOI_00825	CDS	1659	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
HFDHAJOI_00826	CDS	453		2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
HFDHAJOI_00827	CDS	789				hypothetical protein
HFDHAJOI_00828	CDS	1695	ade	3.5.4.2	COG1001	Adenine deaminase
HFDHAJOI_00829	CDS	870	lacX			Protein LacX, plasmid
HFDHAJOI_00830	CDS	357				hypothetical protein
HFDHAJOI_00831	CDS	402		2.8.1.-	COG0607	Sulfurtransferase
HFDHAJOI_00832	CDS	414				hypothetical protein
HFDHAJOI_00833	CDS	678	pldh-t	1.1.1.107		Pyridoxal 4-dehydrogenase
HFDHAJOI_00834	CDS	1107			COG0683	Leu/Ile/Val-binding protein 
HFDHAJOI_00835	CDS	270				hypothetical protein
HFDHAJOI_00836	CDS	1329	bauA	2.6.1.18	COG0161	Beta-alanine--pyruvate aminotransferase
HFDHAJOI_00837	CDS	318	hlyU		COG0640	Transcriptional activator HlyU
HFDHAJOI_00838	CDS	729				hypothetical protein
HFDHAJOI_00839	CDS	1044	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
HFDHAJOI_00840	CDS	870	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
HFDHAJOI_00841	CDS	957				hypothetical protein
HFDHAJOI_00842	CDS	150				hypothetical protein
HFDHAJOI_00843	CDS	387			COG3474	Cytochrome c-554
HFDHAJOI_00844	CDS	1089				hypothetical protein
HFDHAJOI_00845	CDS	1152				hypothetical protein
HFDHAJOI_00846	CDS	1914				hypothetical protein
HFDHAJOI_00847	CDS	405			COG2852	putative protein
HFDHAJOI_00848	CDS	1296				hypothetical protein
HFDHAJOI_00849	CDS	1110				hypothetical protein
HFDHAJOI_00850	CDS	651				hypothetical protein
HFDHAJOI_00851	CDS	717				hypothetical protein
HFDHAJOI_00852	CDS	465	lrp_1		COG1522	Leucine-responsive regulatory protein
HFDHAJOI_00853	CDS	3120	putA		COG0506	Bifunctional protein PutA
HFDHAJOI_00854	CDS	522				hypothetical protein
HFDHAJOI_00855	CDS	1674	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
HFDHAJOI_00856	CDS	2256	hxuC		COG1629	Heme/hemopexin utilization protein C
HFDHAJOI_00857	CDS	933				hypothetical protein
HFDHAJOI_00858	CDS	2184	menF_2	5.4.4.2		Isochorismate synthase MenF
HFDHAJOI_00859	CDS	261				hypothetical protein
HFDHAJOI_00860	CDS	333				hypothetical protein
HFDHAJOI_00861	CDS	909	fieF		COG0053	Ferrous-iron efflux pump FieF
HFDHAJOI_00862	CDS	465	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
HFDHAJOI_00863	CDS	351				hypothetical protein
HFDHAJOI_00864	CDS	1926				hypothetical protein
HFDHAJOI_00865	CDS	756	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
HFDHAJOI_00866	CDS	681	tcyB		COG0765	L-cystine transport system permease protein TcyB
HFDHAJOI_00867	CDS	774	tcyA		COG0834	L-cystine-binding protein TcyA
HFDHAJOI_00868	CDS	573				hypothetical protein
HFDHAJOI_00869	CDS	1002				hypothetical protein
HFDHAJOI_00870	CDS	1098				hypothetical protein
HFDHAJOI_00871	CDS	417				hypothetical protein
HFDHAJOI_00872	CDS	339				hypothetical protein
HFDHAJOI_00873	CDS	879				hypothetical protein
HFDHAJOI_00874	CDS	504				hypothetical protein
HFDHAJOI_00875	CDS	1464	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
HFDHAJOI_00876	CDS	891	auaH	1.1.1.394		Aurachin B dehydrogenase
HFDHAJOI_00877	CDS	828				hypothetical protein
HFDHAJOI_00878	CDS	1833	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HFDHAJOI_00879	CDS	534				hypothetical protein
HFDHAJOI_00880	CDS	432				hypothetical protein
HFDHAJOI_00881	CDS	2562	dmg	1.5.3.10		Dimethylglycine oxidase
HFDHAJOI_00882	CDS	969				hypothetical protein
HFDHAJOI_00883	CDS	306				hypothetical protein
HFDHAJOI_00884	CDS	1440	calB	1.2.1.68		Coniferyl aldehyde dehydrogenase
HFDHAJOI_00885	CDS	1374				hypothetical protein
HFDHAJOI_00886	CDS	1104	lysDH	1.4.1.18		Lysine 6-dehydrogenase
HFDHAJOI_00887	CDS	432	lrp_2		COG1522	Leucine-responsive regulatory protein
HFDHAJOI_00888	CDS	501				hypothetical protein
HFDHAJOI_00889	CDS	1344		3.1.4.-	COG2206	3'3'-cGAMP-specific phosphodiesterase 3
HFDHAJOI_00890	CDS	585	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
HFDHAJOI_00891	CDS	339				hypothetical protein
HFDHAJOI_00892	CDS	504				hypothetical protein
HFDHAJOI_00893	CDS	267				hypothetical protein
HFDHAJOI_00894	CDS	357				hypothetical protein
HFDHAJOI_00895	CDS	585				hypothetical protein
HFDHAJOI_00896	CDS	624	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
HFDHAJOI_00897	CDS	1239		1.5.1.43		Carboxynorspermidine synthase
HFDHAJOI_00898	CDS	1098	nspC	4.1.1.96	COG0019	Carboxynorspermidine/carboxyspermidine decarboxylase
HFDHAJOI_00899	CDS	1185				hypothetical protein
HFDHAJOI_00900	CDS	1182	ydcO		COG3135	Inner membrane protein YdcO
HFDHAJOI_00901	CDS	270				hypothetical protein
HFDHAJOI_00902	CDS	249				hypothetical protein
HFDHAJOI_00903	CDS	1716	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
HFDHAJOI_00904	CDS	777	acoC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system
HFDHAJOI_00905	CDS	912	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
HFDHAJOI_00906	CDS	507				hypothetical protein
HFDHAJOI_00907	CDS	984	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
HFDHAJOI_00908	CDS	570				hypothetical protein
HFDHAJOI_00909	CDS	456		2.3.1.-		Acetyltransferase
HFDHAJOI_00910	CDS	513				hypothetical protein
HFDHAJOI_00911	CDS	2070				hypothetical protein
HFDHAJOI_00912	CDS	2823				hypothetical protein
HFDHAJOI_00913	CDS	918				hypothetical protein
HFDHAJOI_00914	CDS	1014				hypothetical protein
HFDHAJOI_00915	CDS	624				hypothetical protein
HFDHAJOI_00916	CDS	624	nudL	3.6.1.-		putative Nudix hydrolase NudL
HFDHAJOI_00917	CDS	1257	cca	2.7.7.72		CCA-adding enzyme
HFDHAJOI_00918	CDS	489				hypothetical protein
HFDHAJOI_00919	CDS	201				hypothetical protein
HFDHAJOI_00920	CDS	276				hypothetical protein
HFDHAJOI_00921	CDS	915	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
HFDHAJOI_00922	CDS	261				hypothetical protein
HFDHAJOI_00923	CDS	954				hypothetical protein
HFDHAJOI_00924	CDS	1335				hypothetical protein
HFDHAJOI_00925	CDS	504	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
HFDHAJOI_00926	CDS	1917	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HFDHAJOI_00927	CDS	1923				hypothetical protein
HFDHAJOI_00928	CDS	1926				hypothetical protein
HFDHAJOI_00929	CDS	465				hypothetical protein
HFDHAJOI_00930	CDS	423				hypothetical protein
HFDHAJOI_00931	CDS	1017				hypothetical protein
HFDHAJOI_00932	CDS	1872	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HFDHAJOI_00933	CDS	579	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
HFDHAJOI_00934	CDS	1269	fbcH_1		COG1290	Cytochrome b/c1
HFDHAJOI_00935	CDS	876	fbcH_2		COG1290	Cytochrome b/c1
HFDHAJOI_00936	CDS	546	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
HFDHAJOI_00937	CDS	609	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
HFDHAJOI_00938	CDS	828	rhaS_2			HTH-type transcriptional activator RhaS
HFDHAJOI_00939	CDS	477	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
HFDHAJOI_00940	CDS	489				hypothetical protein
HFDHAJOI_00941	CDS	471				hypothetical protein
HFDHAJOI_00942	CDS	663			COG0664	Cyclic AMP receptor protein
HFDHAJOI_00943	CDS	207				hypothetical protein
HFDHAJOI_00944	CDS	1104	ychF		COG0012	Ribosome-binding ATPase YchF
HFDHAJOI_00945	CDS	309	clpS2		COG2127	ATP-dependent Clp protease adapter protein ClpS 2
HFDHAJOI_00946	CDS	399	yjgH		COG0251	RutC family protein YjgH
HFDHAJOI_00947	CDS	609				hypothetical protein
HFDHAJOI_00948	CDS	399				hypothetical protein
HFDHAJOI_00949	CDS	927	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
HFDHAJOI_00950	CDS	726	pth	3.1.1.29		Peptidyl-tRNA hydrolase
HFDHAJOI_00951	CDS	741				hypothetical protein
HFDHAJOI_00952	CDS	2379				hypothetical protein
HFDHAJOI_00953	CDS	597	rplY		COG1825	50S ribosomal protein L25
HFDHAJOI_00954	CDS	177				hypothetical protein
HFDHAJOI_00955	CDS	2124				hypothetical protein
HFDHAJOI_00956	CDS	957				hypothetical protein
HFDHAJOI_00957	CDS	1515	adh	1.2.1.3	COG1012	Aldehyde dehydrogenase
HFDHAJOI_00958	CDS	387				hypothetical protein
HFDHAJOI_00959	CDS	855				hypothetical protein
HFDHAJOI_00960	CDS	933	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
HFDHAJOI_00961	CDS	804				hypothetical protein
HFDHAJOI_00962	CDS	1152	doeA	3.5.4.44	COG0006	Ectoine hydrolase
HFDHAJOI_00963	CDS	795	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
HFDHAJOI_00964	CDS	1101				hypothetical protein
HFDHAJOI_00965	CDS	849	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
HFDHAJOI_00966	CDS	261	ubiK			Ubiquinone biosynthesis accessory factor UbiK
HFDHAJOI_00967	CDS	501				hypothetical protein
HFDHAJOI_00968	CDS	819	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
HFDHAJOI_00969	CDS	345	csaA		COG0073	putative chaperone CsaA
HFDHAJOI_00970	CDS	1383	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
HFDHAJOI_00971	CDS	702	ompR_1			Transcriptional regulatory protein OmpR
HFDHAJOI_00972	CDS	525				hypothetical protein
HFDHAJOI_00973	CDS	156				hypothetical protein
HFDHAJOI_00974	CDS	645	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
HFDHAJOI_00975	CDS	459				hypothetical protein
HFDHAJOI_00976	CDS	216	cspG		COG1278	Cold shock-like protein CspG
HFDHAJOI_00977	CDS	1143	yliI_1	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
HFDHAJOI_00978	CDS	1287		1.8.5.4	COG0446	Sulfide-quinone reductase
HFDHAJOI_00979	CDS	402				hypothetical protein
HFDHAJOI_00980	CDS	1203	aatA	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
HFDHAJOI_00981	CDS	288				hypothetical protein
HFDHAJOI_00982	CDS	318				hypothetical protein
HFDHAJOI_00983	CDS	1227	yliI_2	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
HFDHAJOI_00984	CDS	1206				hypothetical protein
HFDHAJOI_00985	CDS	1128	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
HFDHAJOI_00986	CDS	270				hypothetical protein
HFDHAJOI_00987	CDS	933				hypothetical protein
HFDHAJOI_00988	CDS	1038				hypothetical protein
HFDHAJOI_00989	CDS	381				hypothetical protein
HFDHAJOI_00990	CDS	1101	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
HFDHAJOI_00991	CDS	294	ygaV_2		COG0640	putative HTH-type transcriptional regulator YgaV
HFDHAJOI_00992	CDS	897	pgrR_1			HTH-type transcriptional regulator PgrR
HFDHAJOI_00993	CDS	978	trxB	1.8.1.9	COG0492	Thioredoxin reductase
HFDHAJOI_00994	CDS	468	lrp_3		COG1522	Leucine-responsive regulatory protein
HFDHAJOI_00995	CDS	957				hypothetical protein
HFDHAJOI_00996	CDS	1098	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HFDHAJOI_00997	CDS	477	greA_2		COG0782	Transcription elongation factor GreA
HFDHAJOI_00998	CDS	1230				hypothetical protein
HFDHAJOI_00999	CDS	1461				hypothetical protein
HFDHAJOI_01000	CDS	1545	lfrA		COG0477	Multidrug efflux pump LfrA
HFDHAJOI_01001	CDS	1218				hypothetical protein
HFDHAJOI_01002	CDS	864				hypothetical protein
HFDHAJOI_01003	CDS	285				hypothetical protein
HFDHAJOI_01004	CDS	441				hypothetical protein
HFDHAJOI_01005	CDS	354				hypothetical protein
HFDHAJOI_01006	CDS	186				hypothetical protein
HFDHAJOI_01007	CDS	3483	carB_1	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
HFDHAJOI_01008	CDS	720				hypothetical protein
HFDHAJOI_01009	CDS	2379				hypothetical protein
HFDHAJOI_01010	CDS	1485	nylA	3.5.2.12		6-aminohexanoate-cyclic-dimer hydrolase
HFDHAJOI_01011	CDS	1026		1.1.1.301		D-arabitol-phosphate dehydrogenase
HFDHAJOI_01012	CDS	669	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
HFDHAJOI_01013	CDS	927				hypothetical protein
HFDHAJOI_01014	CDS	480				hypothetical protein
HFDHAJOI_01015	CDS	1464	mdtK		COG0534	Multidrug resistance protein MdtK
HFDHAJOI_01016	CDS	1206	carA_1	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
HFDHAJOI_01017	CDS	453	yqeY		COG1610	putative protein YqeY
HFDHAJOI_01018	CDS	333				hypothetical protein
HFDHAJOI_01019	CDS	303				hypothetical protein
HFDHAJOI_01020	CDS	1995	dnaG_1	2.7.7.-		DNA primase
HFDHAJOI_01021	CDS	1308	cya	4.6.1.1	COG2114	Adenylate cyclase
HFDHAJOI_01022	CDS	2064	rpoD		COG0568	RNA polymerase sigma factor RpoD
HFDHAJOI_01023	CDS	276				hypothetical protein
HFDHAJOI_01024	CDS	399				hypothetical protein
HFDHAJOI_01025	CDS	1041				hypothetical protein
HFDHAJOI_01026	CDS	1149	hipO_2	3.5.1.32	COG1473	Hippurate hydrolase
HFDHAJOI_01027	CDS	600	argO		COG1279	Arginine exporter protein ArgO
HFDHAJOI_01028	CDS	903			COG0583	putative HTH-type transcriptional regulator
HFDHAJOI_01029	CDS	381				hypothetical protein
HFDHAJOI_01030	CDS	462				hypothetical protein
HFDHAJOI_01031	CDS	420				hypothetical protein
HFDHAJOI_01032	CDS	369				hypothetical protein
HFDHAJOI_01033	CDS	303				hypothetical protein
HFDHAJOI_01034	CDS	345				hypothetical protein
HFDHAJOI_01035	CDS	372				hypothetical protein
HFDHAJOI_01036	CDS	234				hypothetical protein
HFDHAJOI_01037	CDS	519	paoA	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
HFDHAJOI_01038	CDS	951	paoB	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
HFDHAJOI_01039	CDS	2199	paoC	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
HFDHAJOI_01040	tRNA	90				tRNA-Ser(cga)
HFDHAJOI_01041	CDS	2097				hypothetical protein
HFDHAJOI_01042	CDS	312				hypothetical protein
HFDHAJOI_01043	CDS	618				hypothetical protein
HFDHAJOI_01044	CDS	804	ftsH_2	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
HFDHAJOI_01045	CDS	1962	ftsH_3	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
HFDHAJOI_01046	CDS	273				hypothetical protein
HFDHAJOI_01047	CDS	945				hypothetical protein
HFDHAJOI_01048	CDS	1938	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
HFDHAJOI_01049	CDS	1329	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
HFDHAJOI_01050	CDS	939	wbpB	1.1.1.335	COG0673	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase
HFDHAJOI_01051	CDS	582	wbpD	2.3.1.201	COG0110	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase
HFDHAJOI_01052	CDS	1113	wbpE	2.6.1.98	COG0399	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
HFDHAJOI_01053	CDS	621	hisH_1	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
HFDHAJOI_01054	CDS	747	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
HFDHAJOI_01055	CDS	1455				hypothetical protein
HFDHAJOI_01056	CDS	1248				hypothetical protein
HFDHAJOI_01057	CDS	1185				hypothetical protein
HFDHAJOI_01058	CDS	1200				hypothetical protein
HFDHAJOI_01059	CDS	1212				hypothetical protein
HFDHAJOI_01060	CDS	1152				hypothetical protein
HFDHAJOI_01061	CDS	1233				hypothetical protein
HFDHAJOI_01062	CDS	441	epsL	2.-.-.-	COG2148	putative sugar transferase EpsL
HFDHAJOI_01063	CDS	621	perB	2.3.1.227	COG0110	GDP-perosamine N-acetyltransferase
HFDHAJOI_01064	CDS	1134	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
HFDHAJOI_01065	CDS	1920				hypothetical protein
HFDHAJOI_01066	CDS	1953				hypothetical protein
HFDHAJOI_01067	CDS	264				IS3 family transposase ISPye5
HFDHAJOI_01068	CDS	828				IS3 family transposase ISPam3
HFDHAJOI_01069	CDS	1197				hypothetical protein
HFDHAJOI_01070	CDS	1260	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HFDHAJOI_01071	CDS	1359				hypothetical protein
HFDHAJOI_01072	CDS	735				hypothetical protein
HFDHAJOI_01073	CDS	1254				hypothetical protein
HFDHAJOI_01074	CDS	1653				hypothetical protein
HFDHAJOI_01075	CDS	1077	egl_2	3.2.1.4		Endoglucanase
HFDHAJOI_01076	tRNA	76				tRNA-Met(cat)
HFDHAJOI_01077	CDS	744			COG2968	26 kDa periplasmic immunogenic protein
HFDHAJOI_01078	CDS	1257	yihS	5.3.1.31	COG2942	Sulfoquinovose isomerase
HFDHAJOI_01079	CDS	3756	metH	2.1.1.13	COG0646	Methionine synthase
HFDHAJOI_01080	CDS	870				hypothetical protein
HFDHAJOI_01081	CDS	1158	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
HFDHAJOI_01082	CDS	1044		1.1.1.1		Alcohol dehydrogenase
HFDHAJOI_01083	CDS	1053	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
HFDHAJOI_01084	CDS	783				hypothetical protein
HFDHAJOI_01085	CDS	891				hypothetical protein
HFDHAJOI_01086	CDS	1104			COG1840	putative protein
HFDHAJOI_01087	CDS	870	hexR_2		COG1737	HTH-type transcriptional regulator HexR
HFDHAJOI_01088	CDS	771				hypothetical protein
HFDHAJOI_01089	CDS	510				hypothetical protein
HFDHAJOI_01090	CDS	1350	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
HFDHAJOI_01091	CDS	1041				hypothetical protein
HFDHAJOI_01092	CDS	1368	ipuC	6.3.2.-		Glutamate--isopropylamine ligase
HFDHAJOI_01093	CDS	1386	ald_2	1.2.99.10		4,4'-diapolycopene aldehyde oxidase
HFDHAJOI_01094	CDS	1146	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
HFDHAJOI_01095	CDS	720				hypothetical protein
HFDHAJOI_01096	CDS	1359				hypothetical protein
HFDHAJOI_01097	CDS	483				hypothetical protein
HFDHAJOI_01098	CDS	828				hypothetical protein
HFDHAJOI_01099	CDS	339	blh_2	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
HFDHAJOI_01100	CDS	342				hypothetical protein
HFDHAJOI_01101	CDS	936	eamA		COG0697	putative amino-acid metabolite efflux pump
HFDHAJOI_01102	CDS	585	alkA_1		COG0122	putative bifunctional transcriptional activator/DNA repair enzyme AlkA
HFDHAJOI_01103	CDS	1653	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
HFDHAJOI_01104	CDS	1200	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
HFDHAJOI_01105	CDS	927		3.1.1.23	COG2267	Monoacylglycerol lipase
HFDHAJOI_01106	CDS	1785				hypothetical protein
HFDHAJOI_01107	CDS	1650	ettA		COG0488	Energy-dependent translational throttle protein EttA
HFDHAJOI_01108	CDS	2262				hypothetical protein
HFDHAJOI_01109	CDS	1008	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
HFDHAJOI_01110	CDS	909	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
HFDHAJOI_01111	CDS	1185				Tn3 family transposase TnXax1
HFDHAJOI_01112	CDS	780				hypothetical protein
HFDHAJOI_01113	CDS	681	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
HFDHAJOI_01114	CDS	687				hypothetical protein
HFDHAJOI_01115	CDS	447				hypothetical protein
HFDHAJOI_01116	CDS	1575				hypothetical protein
HFDHAJOI_01117	CDS	1368				hypothetical protein
HFDHAJOI_01118	CDS	975				hypothetical protein
HFDHAJOI_01119	CDS	636	rhtB_2		COG1280	Homoserine/homoserine lactone efflux protein
HFDHAJOI_01120	CDS	1215	pfp	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
HFDHAJOI_01121	CDS	738	djlA			Co-chaperone protein DjlA
HFDHAJOI_01122	CDS	762	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
HFDHAJOI_01123	CDS	486	mltC	4.2.2.-		Membrane-bound lytic murein transglycosylase C
HFDHAJOI_01124	CDS	1191	soxA_3	1.5.3.1		Monomeric sarcosine oxidase
HFDHAJOI_01125	CDS	441	mraZ		COG2001	Transcriptional regulator MraZ
HFDHAJOI_01126	CDS	1026	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
HFDHAJOI_01127	CDS	393				hypothetical protein
HFDHAJOI_01128	CDS	1746	ftsI	3.4.16.4		putative peptidoglycan D,D-transpeptidase FtsI
HFDHAJOI_01129	CDS	1455	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
HFDHAJOI_01130	CDS	1434	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
HFDHAJOI_01131	CDS	1101	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
HFDHAJOI_01132	CDS	1410	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
HFDHAJOI_01133	CDS	1155	ftsW	2.4.1.129		putative peptidoglycan glycosyltransferase FtsW
HFDHAJOI_01134	CDS	1122	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
HFDHAJOI_01135	CDS	1413	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
HFDHAJOI_01136	CDS	975	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
HFDHAJOI_01137	CDS	855				hypothetical protein
HFDHAJOI_01138	CDS	927	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
HFDHAJOI_01139	CDS	933	ftsQ			Cell division protein FtsQ
HFDHAJOI_01140	CDS	1332	ftsA		COG0849	Cell division protein FtsA
HFDHAJOI_01141	CDS	1746	ftsZ			Cell division protein FtsZ
HFDHAJOI_01142	CDS	957	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
HFDHAJOI_01143	CDS	867	bamD		COG4105	Outer membrane protein assembly factor BamD
HFDHAJOI_01144	CDS	1674	recN		COG0497	DNA repair protein RecN
HFDHAJOI_01145	CDS	1449	ywiE	2.7.8.-	COG1502	putative cardiolipin synthase YwiE
HFDHAJOI_01146	CDS	831				hypothetical protein
HFDHAJOI_01147	CDS	2157	ligA	6.5.1.2	COG0272	DNA ligase
HFDHAJOI_01148	CDS	846				hypothetical protein
HFDHAJOI_01149	CDS	411				hypothetical protein
HFDHAJOI_01150	CDS	867				hypothetical protein
HFDHAJOI_01151	CDS	2085	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
HFDHAJOI_01152	CDS	639	dinG_1	3.1.-.-		3'-5' exonuclease DinG
HFDHAJOI_01153	CDS	489				hypothetical protein
HFDHAJOI_01154	CDS	363				hypothetical protein
HFDHAJOI_01155	CDS	465	cheW_3		COG0835	Chemotaxis protein CheW
HFDHAJOI_01156	CDS	1968				hypothetical protein
HFDHAJOI_01157	CDS	789				hypothetical protein
HFDHAJOI_01158	CDS	156				hypothetical protein
HFDHAJOI_01159	CDS	600				hypothetical protein
HFDHAJOI_01160	CDS	885	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
HFDHAJOI_01161	CDS	174				hypothetical protein
